ElevationDeg,GaseousLossDb,CloudLossDb,RainLossDb,ScintillationLossDb,TotalAtmosphericLossDb
37,0.0573176505518747,0.00522779890204312,3.21331157812863e-05,0.029247142222019,0.0870340132664994
38,0.0560285555883634,0.00511022378914182,3.12386383655395e-05,0.028288934043244,0.0847809194076475
39,0.0548124988232993,0.00499931030681982,3.03983249776566e-05,0.0273922446787587,0.0826626880050942
40,0.0536641072013181,0.00489456839219658,2.96079193158755e-05,0.0265520342887697,0.0806688852455617
41,0.0525785358780522,0.00479555615918953,2.88636048290502e-05,0.0257637914499027,0.078790135904253
42,0.0515514054596956,0.0047018741742924,2.81619500560497e-05,0.0250234671031006,0.0770179943085697
43,0.0505787480056937,0.00461316053161626,2.74998618899409e-05,0.0243274180950173,0.0753448336886923
44,0.0496569604007004,0.00452908660006284,2.68745454654592e-05,0.0236723587361535,0.0737637509397312
45,0.0487827639497593,0.00444935333810257,2.62834696061591e-05,0.023055319087191,0.0722684843569921
46,0.0479531692499957,0.00437368808980982,2.57243369578298e-05,0.0224736089154286,0.0708533423363378
47,0.0471654455532645,0.00430184179050699,2.51950580876239e-05,0.0219247864484705,0.0695131413785646
48,0.0464170939651477,0.00423358652231245,2.46937289518365e-05,0.0214066312019725,0.0682431520177501
49,0.0457058239325854,0.00416871336963638,2.42186112355201e-05,0.0209171202797434,0.0670390515222745
50,0.045029532560084,0.00410703053266413,2.37681151488656e-05,0.020454407643579,0.0658968824042419
51,0.0443862863666279,0.00404836166344992,2.33407843322544e-05,0.0200168059313643,0.0648130159266229
52,0.0437743051551209,0.0039925443946892,2.29352825769651e-05,0.0196027704687401,0.0637841199240948
53,0.0431919477157418,0.00393942903575753,2.25503821140272e-05,0.0192108851747674,0.0628071303584228
54,0.0426376991258982,0.00388887741437135,2.21849532614403e-05,0.0188398501077398,0.0618792261163846
55,0.0421101594440116,0.00384076184537651,2.18379552513799e-05,0.0184884704353401,0.0609978066309498
56,0.0416080336233582,0.003794964210815,2.15084280852447e-05,0.0181556466451115,0.0601604719672963
57,0.0411301224966108,0.00375137513764769,2.11954852863863e-05,0.0178403658378476,0.0593650050663798
58,0.0406753147023571,0.00370989326139234,2.08983074388552e-05,0.0175416939688944,0.0586093558818685
59,0.0402425794423593,0.00367042456553147,2.06161364160988e-05,0.0172587689212504,0.0578916271826923
60,0.0398309599731828,0.00363288178790012,2.03482702167531e-05,0.0169907943103351,0.0572100618243616
61,0.0394395677485,0.00359718388642013,2.00940583358802e-05,0.0167370339338609,0.0565630313184916
62,0.0390675771392118,0.00356325555753569,1.9852897609547e-05,0.0164968067917919,0.0559490255523973
63,0.0387142206678219,0.00353102680155258,1.96242284787878e-05,0.01626948261123,0.0553666435298014
64,0.0383787847014908,0.00350043252981242,1.94075316259736e-05,0.0160544778195025,0.054814585020155
65,0.0380606055550779,0.00347141220926098,1.92023249425937e-05,0.0158512519159692,0.0542916430182196
66,0.0377590659614363,0.00344390954051263,1.90081607926139e-05,0.0156593041992913,0.0537966969277591
67,0.0374735918713759,0.00341787216598297,1.88246235400184e-05,0.0154781708122831,0.0533287063937415
68,0.0372036495501904,0.00339325140507039,1.86513273129899e-05,0.0153074220711073,0.0528867057165844
69,0.036948742941539,0.00337000201372234,1.84879139805197e-05,0.0151466600496109,0.052469798789922
70,0.0367084112728777,0.00334808196603273,1.83340513201334e-05,0.0149955163930903,0.0520771545102843
71,0.0364822268796074,0.00332745225578792,1.8189431357948e-05,0.0148536503388297,0.0517080026131122
72,0.0362697932277163,0.00330807671611698,1.805376886448e-05,0.0147207469234166,0.0513616298948156
73,0.036070743116989,0.00328992185561079,1.79267999915541e-05,0.0145965153591671,0.0510373767852115
74,0.0358847370488701,0.00327295670945908,1.78082810373603e-05,0.0144806875640441,0.0507346342387545
75,0.0357114617448632,0.00325715270431727,1.76979873281969e-05,0.0143730168312428,0.0504528409165608
76,0.0355506288029198,0.00324248353575909,1.75957122067506e-05,0.0142732766262133,0.0501914806344023
77,0.0354019734806822,0.00322892505729924,1.75012661179352e-05,0.014181259500288,0.0499500800546623
78,0.0352652535956942,0.00321645518008435,1.74144757843361e-05,0.0140967761113303,0.0497282066027436
79,0.0351402485338127,0.0032050537824527,1.73351834642327e-05,0.0140196543429273,0.0495254665906523
80,0.0350267583580547,0.0031947026286544,1.72632462859896e-05,0.0139497385146422,0.049341503532478
81,0.0349246030110192,0.00318538529610625,1.71985356533435e-05,0.013886888676727,0.0491759966382844
82,0.0348336216048379,0.00317708711063002,1.7140936716777e-05,0.0138309799834954,0.0490286594745411
